Aldi         | Ambiano Electric Kettle or 2-Slice Toaster |  | 
Hy-Vee       | California naturals body care, buy one, get one 50% off regular price, |  | 
Hy-Vee       | Casamigos blanco tequila, 750 ml., $46.99 |  | 
Hy-Vee       | Cascade Platinum Action Pacs Fresh Scent, 71Ct | 71 ct | $22.99
Hy-Vee       | Cascade Platinum Action Pacs, FUEL SAVER EARN 5¢ OFF PER GALLON with manufacturer's digital coupon, $7.99 |  | 
Hy-Vee       | Chicken griller patties, 6 oz., 2/ $6 |  | 
Hy-Vee       | Chinet plates, bowls or cups, 24 to 60 ct., $7.99 |  | 
Hy-Vee       | Chobani protein drink, 2.00 off with manufacturer's digital coupon & purchase of 3, |  | 
Hy-Vee       | Chosen Foods condiments, dressings, marinades or oils, 20% off regular price, |  | 
Hy-Vee       | Clif bars, 5 ct., $5.98 |  | 
Hy-Vee       | Clos du Bois wine, 750 ml., $9.99 |  | 
Hy-Vee       | Coors or Miller, 12 pk. cans 12 fl. oz., $12.99 |  | 
Hy-Vee       | Core Power Elite protein drink, 14 fl. oz., 2/ $9 |  | 
Hy-Vee       | Core Power protein drink, FUEL SAVER EARN 10¢ OFF PER GALLON, $39.99 |  | 
Hy-Vee       | Core water or Snapple tea, 30.4 or 64 fl. oz., 2/ $3 |  | 
Hy-Vee       | Country Archer beef stick, each, $1.99 each |  | 
Hy-Vee       | Country Crock spread, 15 oz., $3.69 |  | 
Hy-Vee       | Crest oral care, EARN 6¢ OFF PER GALLON, $8.97 |  | 
Hy-Vee       | Crystal Light drink mix, 6 or 10 ct., makes 12 quarts, $2.99 |  | 
Hy-Vee       | Dark Horse wine, 750 ml., $7.99 |  | 
Hy-Vee       | Dasani water, 24 pk. bottles 16.9 fl. oz., $4.99 |  | 
Hy-Vee       | Depend or Poise products, FUEL SAVER EARN 40¢ OFF PER GALLON with purchase of 2, |  | 
Hy-Vee       | DHC skin care, FUEL SAVER EARN 5¢ OFF PER GALLON, |  | 
Hy-Vee       | DiGiorno gluten free or stuffed crust pizza, 21.9 to 26.4 oz., $7.99 |  | 
Hy-Vee       | Doctor D's sparkling probiotic drink, buy one, get one FREE, |  | 
Hy-Vee       | Dole salad blends or Caesar salad kit, 5 to 16 oz. pkg., $3.49 |  | 
Hy-Vee       | Dos Rios fully cooked ground beef with taco seasoning or Jen's Family Table sloppy Joe or bolognese meat, SAVE! 40¢, $3.48 PERKS PRICES. NON-MEMBER PRICE 3.88 |  | 
Hy-Vee       | Dove ice cream bars, 10 ct. mini or 3 ct., $4.99 |  | 
Hy-Vee       | Downy or Gain fabric beads, FUEL SAVER EARN 5¢ OFF PER GALLON -2.00 off with manufacturer's digital coupon, $7.99 |  | 
Hy-Vee       | Drumstick, Kit Kat, Toll House, Disney or Oreo novelties, 8 or 12 ct., 5 to 20 oz., $6.99 |  | 
Hy-Vee       | Dymatize or Premier protein shake, 10% off regular price, |  | 
Hy-Vee       | Eckrich sausage links, ropes or cocktails, - .50 off with digital coupon, $2.99 |  | 
Hy-Vee       | Electrolit, Vita Coco or Evian water, 16.9 to 33.8 fl. oz., 2/ $5 |  | 
Hy-Vee       | Energizer Max batteries, AA or AAA, 16 ct., $16.99 |  | 
Hy-Vee       | Essentia water, 1.5 liter, 2/ $4 |  | 
Hy-Vee       | Fever Tree ginger beer, 4 pk. bottles 800 ml., $3.99 |  | 
Hy-Vee       | Fever Tree ginger beer, 8 pk. cans 5.07 fl. oz., $5.99 |  | 
Hy-Vee       | Firecracker street corn, $4.99 lb. |  | 
Hy-Vee       | Fish Market breaded fish, 18.2 to 21.2 oz., $5.99 |  | 
Hy-Vee       | Florida's Natural blends, orange or grapefruit juice, 52 fl. oz., 2/ $7 |  | 
Hy-Vee       | Force Factor dietary supplements or drink powder, FUEL SAVER EARN 5¢ OFF PER GALLON, |  | 
Hy-Vee       | Formaggio charcuterie bites, 4 oz., $6.99 |  | 
Hy-Vee       | Formaggio fresh balsamic glazed mozzarella, 12 oz., $6.99 |  | 
Hy-Vee       | Formaggio marinated mozzarella cup, 12 oz., $6.99 |  | 
Hy-Vee       | Formaggio Perfect Pairings, 10 oz., $8.99 |  | 
Hy-Vee       | Frebreze air effects or fabric refresher, -3.50 off 2 with manufacturer's digital coupon, FUEL SAVER EARN 10¢ OFF PER GALLON, 2/ $8.48 |  | 
Hy-Vee       | Fresh boneless skinless lean hand trimmed chicken breasts, $4.88 lb. |  | 
Hy-Vee       | Fresh caprese platter, FUEL SAVER EARN 5¢ OFF PER GALLON, $30.00 |  | 
Hy-Vee       | Fresh ground beef patties, 85% lean, 15% fat 4 ct., 16 oz., $8.99 |  | 
Hy-Vee       | Fresh ground beef, 73% lean, 27% fat 16 oz. roll, $6.99 |  | 
Hy-Vee       | Fresh marinated chicken thighs, FUEL SAVER EARN 3¢ OFF PER GALLON, $4.99 lb. |  | 
Hy-Vee       | Frito-Lay Baked or Sunchips snacks, 6.25 to 7.62 oz., $3.99 |  | 
Hy-Vee       | Frito-Lay chips 1.87 to 4 oz. with purchase of Deli sandwich, Market Grille, MIA Italian, HyChi or Nori Sushi foods, $2.00 |  | 
Hy-Vee       | Frito-Lay Doritos or Cheetos snacks, 8 to 10.75 oz., $2.99 ea. with purchase of 2 |  | 
Hy-Vee       | Frito-Lay Lay's, Kettle Cooked, Tostitos Cantina chips or can dip, 5 to 12 oz., $2.49 |  | 
Hy-Vee       | Frito-Lay Miss Vickies chips, 6 or 7.5 oz., $3.99 |  | 
Hy-Vee       | Frito-Lay multipack snacks, SPEND $25 SAVE $5 INSTANTLY, $9.98 |  | 
Hy-Vee       | Frito-Lay Smartfood or Rold Gold snacks, 5.5 to 16 oz., $3.49 |  | 
Hy-Vee       | Garden of Life supplements, EARN 5¢ OFF PER GALLON with $20 purchase of Garden of Life supplements, |  | 
Hy-Vee       | Gatorlyte hydration drink, 20 fl. oz., $2.50 ea. with purchase of 2 |  | 
Hy-Vee       | Ghirardelli ice cream sauce, 16 oz., $6.99 |  | 
Hy-Vee       | Giants sunflower seeds, 12 oz., $3.99 |  | 
Hy-Vee       | Gourmet stuffed salmon portion, 6 oz., $6.99 |  | 
Hy-Vee       | Grapery Gum Drop grapes, $3.49 lb. |  | 
Hy-Vee       | Grill Ready Firecracker or Jamaican corn, each, 2/ $5 |  | 
Hy-Vee       | Grocery, EARN 30¢ OFF PER GALLON with every $60 purchase, |  | 
Hy-Vee       | Gustare Vita breadcrumbs, 13.4 oz., $2.49 |  | 
Hy-Vee       | Gustare Vita flavored olive oil, 8.5 fl. oz., $4.99 |  | 
Hy-Vee       | Gustare Vita Frozen Meals, 9 oz., $4.88 |  | 
Hy-Vee       | Gustare Vita wine vinegar, 16.9 fl. oz., $2.49 |  | 
Hy-Vee       | Häagen-Dazs mini, Outshine, Oreo, Drumstick, Kit Kat, Toll House or Skinny Cow novelties, 4 To 12 ct., $3.99 |  | 
Hy-Vee       | Hallmark products, EARN 1¢0 with $10 purchase of Hallmark products, FUEL SAVER EARN 10¢ OFF PER GALLON, |  | 
Hy-Vee       | Handi-Foil pans, 20% off regular price, |  | 
Hy-Vee       | Healthmarket dietician's meal, $8.99 each |  | 
Hy-Vee       | Hormel or Herdez entrée, 15 oz., $7.99 |  | 
Hy-Vee       | Hot Wheels cars, 5 ct., $7.99 |  | 
Hy-Vee       | Hot Wheels two tone car, $1.69 each |  | 
Hy-Vee       | HyChi egg roll, each 1.67 each, 3/ $5 each |  | 
Hy-Vee       | Hy-Vee Angus Reserve boneless beef New York strip steak, $19.99 lb. |  | 
Hy-Vee       | Hy-Vee Angus Reserve boneless beef petite tender steak value pack or pot roast, $9.99 lb. |  | 
Hy-Vee       | Hy-Vee Asian appetizer, 5 to 12.32 oz., $4.48 |  | 
Hy-Vee       | Hy-Vee batteries, AA or AAA, 4 ct., $3.99 |  | 
Hy-Vee       | Hy-Vee bologna, FUEL SAVER EARN 10¢ OFF PER GALLON, 2/ $5 |  | 
Hy-Vee       | Hy-Vee Butter Flavored No Stick Cooking Spray 5 oz | 5 oz | $3.48
Hy-Vee       | Hy-Vee canned pasta, 15 oz., $0.99 |  | 
Hy-Vee       | Hy-Vee cat wand, cardboard scratcher or plush toys, each, $5.99 |  | 
Hy-Vee       | Hy-Vee Cheese Spritz or jar cheese, 8 to 15.5 oz., $3.49 |  | 
Hy-Vee       | Hy-Vee chocolate candy, 5 or 6 oz., $2.77 |  | 
Hy-Vee       | Hy-vee chocolate syrup, 24 oz., $2.99 |  | 
Hy-Vee       | Hy-Vee Choice Reserve bacon wrapped beef sirloin filet, 5 oz., $4.99 |  | 
Hy-Vee       | Hy-Vee Choice Reserve bacon wrapped beef sirloin filet, 8 oz., $6.99 |  | 
Hy-Vee       | Hy-Vee Clear Hands Soap | 50 fl oz | $5.99
Hy-Vee       | Hy-Vee clear plastic cups, 18 or 20 ct., $1.99 |  | 
Hy-Vee       | Hy-Vee compostable bowls, 30 ct., $3.99 |  | 
Hy-Vee       | Hy-Vee compostable dessert plates, 35 ct., $3.99 |  | 
Hy-Vee       | Hy-Vee compostable platters, 24 ct., $6.49 |  | 
Hy-Vee       | Hy-Vee contractor bags, 20 ct., $15.99 |  | 
Hy-Vee       | Hy-Vee crescent rolls or jumbos biscuits, - .50 off with digital coupon, $2.27 |  | 
Hy-Vee       | Hy-Vee Crust Busters sandwiches, SAVE! .40, $3.28 |  | 
Hy-Vee       | Hy-Vee cutlery, 288 ct., $6.99 |  | 
Hy-Vee       | Hy-Vee foil sheets, 50 ct., $3.98 |  | 
Hy-Vee       | Hy-Vee fresh boneless skinless chicken breast cubes or strips, $5.99 lb. |  | 
Hy-Vee       | Hy-Vee fresh chicken fajita mix, FUEL SAVER EARN 3¢ OFF PER GALLON, $6.99 lb. |  | 
Hy-Vee       | Hy-Vee frozen boneless skinless chicken breast, SAVE! 1.00, $7.99 PERKS PRICES. NON-MEMBER PRICE $8.99 |  | 
Hy-Vee       | Hy-Vee frozen sliced bananas, strawberries or blueberries, 12 to 16 oz., $2.88 |  | 
Hy-Vee       | Hy-Vee fruit, 10 to 16 oz., $3.49 |  | 
Hy-Vee       | Hy-Vee fruit, 29 or 30 oz., $3.48 |  | 
Hy-Vee       | Hy-Vee fully cooked sausage, 24 oz., $6.99 |  | 
Hy-Vee       | Hy-Vee gourmet bacon wrapped stuffed jalapeño or Anaheim peppers, $10.99 lb. |  | 
Hy-Vee       | Hy-Vee gourmet steakhouse burgers, 6 oz., $3.99 |  | 
Hy-Vee       | Hy-Vee gourmet stuffed portabella mushrooms, $8.99 lb. |  | 
Hy-Vee       | Hy-Vee hazelnut spread, 13 oz., $3.88 |  | 
Hy-Vee       | Hy-Vee HealthMarket vitamins, 20% off regular price, |  | 
Hy-Vee       | Hy-Vee Hickory House marinade, 12.25 fl. oz. Select varieties included., $2.49 |  | 
Hy-Vee       | Hy-Vee Hickory House wing sauce, 12 fl. oz., $2.99 |  | 
Hy-Vee       | Hy-Vee hot honey corn muffin mix, 6 oz., $0.88 |  | 
Hy-Vee       | Hy-Vee juice, 12 fl. oz. concentrate, $3.69 |  | 
Hy-Vee       | Hy-Vee Midwest Pork fresh cut pork steak, value pack, $4.48 lb. |  | 
Hy-Vee       | Hy-Vee mild enchilada sauce, 28 oz., $3.19 |  | 
Hy-Vee       | Hy-Vee mini cups with lids, 50 ct., $3.49 |  | 
Hy-Vee       | Hy-Vee natural cheese, shredded, chunk or sliced, 32 oz., $7.98 |  | 
Hy-Vee       | Hy-Vee One Step water, 1 liter, 2/ $3 |  | 
Hy-Vee       | Hy-Vee party or compartment plastic plates, 15 or 20 ct., $3.49 |  | 
Hy-Vee       | Hy-Vee party plastic bowls, 22 ct., $2.99 |  | 
Hy-Vee       | Hy-Vee party plastic cups, 50 ct., $4.79 |  | 
Hy-Vee       | Hy-Vee peanut butter filled pretzels, 24 oz., $5.99 |  | 
Hy-Vee       | Hy-Vee pizza bagels, 7 oz., $2.18 |  | 
Hy-Vee       | Hy-Vee pizza crusts, 10 to 16 oz., $3.79 |  | 
Hy-Vee       | Hy-Vee popcorn chicken or strips, 24 oz., $7.99 |  | 
Hy-Vee       | Hy-Vee popcorn, 6 ct., $3.39 |  | 
Hy-Vee       | Hy-Vee potatoes, 24 to 32 oz., $3.48 |  | 
Hy-Vee       | Hy-Vee rawhide bones, twist sticks or pig ear strips, 1 to 30 ct., $6.99 |  | 
Hy-Vee       | Hy-Vee rope or squeaky dog toys each, 2/ $5 |  | 
Hy-Vee       | Hy-Vee seasoning, .21 to 5 oz., $2.49 |  | 
Hy-Vee       | Hy-Vee Short Cuts cantaloupe chunks, FUEL SAVER EARN 5¢ OFF PER GALLON, $4.99 lb. |  | 
Hy-Vee       | Hy-Vee Short Cuts watermelon chunks, FUEL SAVER EARN 5¢ OFF PER GALLON, |  | 
Hy-Vee       | Hy-Vee signature premium crab cake, 4 oz., $7.99 |  | 
Hy-Vee       | Hy-Vee sliced olives, 3.8 oz., $1.88 |  | 
Hy-Vee       | Hy-Vee small twist or soup & salad containers, 3 or 5 ct., $2.79 |  | 
Hy-Vee       | Hy-Vee smoothie blends, 6 ct., $9.49 |  | 
Hy-Vee       | Hy-Vee steak sauce, 10 oz., $2.69 |  | 
Hy-Vee       | Hy-Vee taco sauce, mild or medium, 16 oz., $2.79 |  | 
Hy-Vee       | Hy-Vee taco shells, 12 ct., $2.18 |  | 
Hy-Vee       | Hy-Vee tea, gallon, $3.49 |  | 
Hy-Vee       | Hy-Vee tomato sauce, 8 oz., $0.68 |  | 
Hy-Vee       | Hy-Vee True grass fed filet mignon, SAVE! 1.00, $11.99 |  | 
Hy-Vee       | Hy-Vee vegetables, 10 or 10.8 oz., $1.28 |  | 
Hy-Vee       | Hy-Vee vinegar, gallon, $3.49 |  | 
Hy-Vee       | Hy-Vee water enhancer, -1.00 off with digital coupon, $2.49 |  | 
Hy-Vee       | Hy-Vee We All Scream! novelties, 12 or 20 ct., $3.99 |  | 
Hy-Vee       | Hy-Vee whipped dressing, 30 fl. oz., $3.48 |  | 
Hy-Vee       | Hy-Vee wild bird food, 20 lb., $14.99 |  | 
Hy-Vee       | Hy-Vee zero sugar fruit juice, 64 fl. oz., $2.49 |  | 
Hy-Vee       | Imperial spread, Country Crock plant based cream or butter, 14 to 45 oz., $3.99 |  | 
Hy-Vee       | Jackson's sweet potato chips, 5 oz., 2/ $7 |  | 
Hy-Vee       | Jarlsberg cheese, buy one, get one FREE, |  | 
Hy-Vee       | Jocko Creatine powder 19.20 oz., Molk, Go or Hydrate drink, buy one, get one 50% off regular price, |  | 
Hy-Vee       | Jordan's Skinny Mixes sauce, 12 oz., $4.99 |  | 
Hy-Vee       | Josh Cellars red wine, 750 ml., $14.99 |  | 
Hy-Vee       | Josh Cellars white wine, 750 ml, $12.99 |  | 
Hy-Vee       | JULY DEALS GOOD ALL MONTH LONG!, |  | 
Hy-Vee       | KA-ME stir fry noodles, 14.2 oz., $3.99 |  | 
Hy-Vee       | Kaukauna cheese balls, logs or small cups, 6 or 6.5 oz., $4.99 |  | 
Hy-Vee       | Kellogg's Nutri-Grain, Special K bars or Rice Krispies Treats, 6 to 12 ct., $2.99 |  | 
Hy-Vee       | Kemps ice cream sandwiches 12 ct., frozen yogurt, sherbet or ice cream, 48 or 54 fl. oz., $3.99 |  | 
Hy-Vee       | Kemps Simply Crafted ice cream 48 fl. oz. or Kempswich ice cream cookie sandwiches 4 ct., $4.49 |  | 
Hy-Vee       | Keystone Light, 15 pk. cans 12 fl. oz., $11.99 |  | 
Hy-Vee       | KIND bars, 6 ct., $6.99 |  | 
Hy-Vee       | King's Hawaiian buns, 10 to 12 oz., $3.99 |  | 
Hy-Vee       | King's Hawaiian sliders, FUEL SAVER EARN 3¢ OFF PER GALLON, |  | 
Hy-Vee       | King's Hawaiian take & bake ham & swiss sliders, FUEL SAVER EARN 3¢ OFF PER GALLON, |  | 
Hy-Vee       | Kool-Aid hydration electrolyte powder drink mix, 6 ct., $4.99 |  | 
Hy-Vee       | La Benderita taco shells, 10 ct. or chips 14 oz., $1.99 |  | 
Hy-Vee       | Land O' Frost Bistro Favorites lunch meat, 6 or 8 oz., $3.99 |  | 
Hy-Vee       | Land O'Frost deli shaved lunch meat or Canadian bacon, 6 to 9 oz., 2/ $5 |  | 
Hy-Vee       | Lärabar bars, FUEL SAVER EARN 8¢ OFF PER GALLON, $6.48 |  | 
Hy-Vee       | Lawry's marinade, 12 oz., $2.99 |  | 
Hy-Vee       | Legendary Protein pastries or chips, Convenient, protein-packed grab-and-go breakfast or snack. 4 ct., $10.99 |  | 
Hy-Vee       | Leinenkugel's, 12 pk. bottles or cans 12 fl. oz., $17.99 |  | 
Hy-Vee       | Lindt chocolate bar, 2.8 to 4.4 oz., $5.99 |  | 
Hy-Vee       | Lindt chocolate truffles or bar, 1.3 oz., $1.99 |  | 
Hy-Vee       | Lindt chocolate, 12.7 oz., $17.69 |  | 
Hy-Vee       | Lindt chocolate, 8.5 oz., $12.99 |  | 
Hy-Vee       | Liquid Death sparkling energy drink, 12 fl. oz., 2/ $4 |  | 
Hy-Vee       | Louis Kemp imitation crab or lobster, buy one, get one FREE, |  | 
Hy-Vee       | Luigi's Real Italian ice, 6 ct., $3.48 |  | 
Hy-Vee       | Lumber Jack BBQ pellets, 20 lb., $8.99 |  | 
Hy-Vee       | Lysol bowl cleaner, 24 fl. oz., $2.99 |  | 
Hy-Vee       | Lysol spray or wipes, 35 ct., 22 or 32 oz., $3.99 |  | 
Hy-Vee       | Malibu rum, 750 ml., $15.99 |  | 
Hy-Vee       | Marconi giardiniera, hot or mild, 16 fl. oz., $4.99 |  | 
Hy-Vee       | Marinated & encrusted salmon portion, 4 OZ. Encrusted salmon fillet 15.98lb., $6.99 |  | 
Hy-Vee       | Market Grille biscuits & gravy, $5.00 |  | 
Hy-Vee       | Market Grille cajun Alfredo 15 minute meal kit for 4, FUEL SAVER EARN 20¢ OFF PER GALLON Ready in 15 minutes, $5.99 lb. |  | 
Hy-Vee       | Market Grille chicken meal, 1.00 off Fountain beverage 24 fl. oz. with purchase of Market Grille chicken meal, |  | 
Hy-Vee       | Market Grille or HyChi meal, 1.00 off regular price, |  | 
Hy-Vee       | Master of Mixes cocktail, 1 liter, $4.29 |  | 
Hy-Vee       | Matua wine, 750 ml., $12.99 |  | 
Hy-Vee       | McCormick Grill Mate blends or marinades, .71 to 5 oz., $1.99 |  | 
Hy-Vee       | Meat Bundle #3, 8 lb. 3 oz., 4 ct. - 3.75 oz. Pork bratwursts, 4 ct. - 6 oz. Gourmet steakhouse burgers, 4 ct. - 5 oz. Twice baked potatoes, 4 ct. - 5 oz. Hy-Vee Choice Reserve bacon wrapped sirloin filets, 4 ct. - 5 oz. 85% lean, 15% fat Ground Chuck Patties, 4 ct. - 8 oz. Bacon wrapped chicken grillers, $85.00 |  | 
Hy-Vee       | Meehan's seasoning, 12 to 15 oz., $7.99 |  | 
Hy-Vee       | Melissa's assorted potatoes, - .50 off with digital coupon, $3.99 |  | 
Hy-Vee       | Meow Mix treats, 3 oz., 3/ $5 each |  | 
Hy-Vee       | Metamucil fiber gummies, -1.00 off with manufacturer's digital coupon, EARN 2¢ OFF PER GALLON, $14.48 |  | 
Hy-Vee       | MIA Italian calzone, 5 to 14 oz., $3.99 |  | 
Hy-Vee       | Michelob Ultra, 12 pk. aluminum bottles 16 fl. oz., $17.99 |  | 
Hy-Vee       | Michelob Ultra, 18 pk. bottles or cans 12 fl. oz., $19.99 |  | 
Hy-Vee       | Mike's Hard or Cayman Jack, 12 pk. bottles or cans 12 fl. oz., $17.99 |  | 
Hy-Vee       | Milk50 lactose free or TruMoo protein milk, SAVE! $.30, $3.69 |  | 
Hy-Vee       | Milkhaus A2 cheese, 8 oz., $7.99 |  | 
Hy-Vee       | Modelo or Pacifico, 12 pk. cans 12 fl. oz., $15.99 |  | 
Hy-Vee       | Natrol sleep supplements, FUEL SAVER EARN 5¢ OFF PER GALLON, |  | 
Hy-Vee       | Nestlé Nesquik powder drink mix, 16 to 20.1 oz., $6.99 |  | 
Hy-Vee       | Neutrogena or Aveeno sun care, EARN 5¢ OFF PER GALLON, |  | 
Hy-Vee       | Nissin Geki noodles, 5 ct., $5.49 |  | 
Hy-Vee       | Nothing But The Truth avocado oil, 25 fl. oz., $14.49 |  | 
Hy-Vee       | Nothing But The Truth balsamic vinegar, 16.9 fl. oz., $2.97 |  | 
Hy-Vee       | Nothing But The Truth flavored extra virgin olive oil, SAVE $1.00, $4.99 |  | 
Hy-Vee       | Nothing But The Truth gnocchi, 16 oz., $3.49 |  | 
Hy-Vee       | Nütril vodka seltzer, 12 pk. cans 12 fl. oz., $23.99 |  | 
Hy-Vee       | Old Amsterdam goat or gouda cheese wedges, 5.3 to 6.35 oz., $7.99 |  | 
Hy-Vee       | Old Orchard 100% juice, SAVE! .40, $2.29 PERKS PRICES. NON-MEMBER PRICE $2.69 |  | 
Hy-Vee       | ONE [1] MICHELOB ULTRA® FAMILY 12-PACK OR LARGER AND TWO [2] BAGS 7 OZ. OR LARGER OF LAY'S® [LAY'S®, DORITOS®, CHEETOS®, TOSTITOS®, FRITOS®, RUFFLES® OR SABRITAS® CHIPS, ANY FLAVOR], GET $5* BACK VIA REBATE, ONE [1] MICHELOB ULTRA® FAMILY 12-PACK OR LARGER AND TWO [2] BAGS 7 OZ. OR LARGER OF LAY'S® [LAY'S®, DORITOS®, CHEETOS®, TOSTITOS®, FRITOS®, RUFFLES® OR SABRITAS® CHIPS, ANY FLAVOR], |  | 
Hy-Vee       | One A Day, Citracal or Flintstones vitamins, 25% off regular price, |  | 
Hy-Vee       | Optimum Nutrition Sparkling Energy Drink, $1.67 each, 3/ $5 each |  | 
Hy-Vee       | Oscar Mayer Deli Fresh lunch meat, 6 to 9 oz., $3.99 |  | 
Hy-Vee       | P.F. Chang's, Bertolli or Birds Eye Voila entrée, 22 to 42 oz., $6.98 |  | 
Hy-Vee       | Pampers wipes, EARN 5¢ OFF PER GALLON, $12.97 |  | 
Hy-Vee       | Party Size Frito-Lay snacks, SPEND $25 SAVE $5 INSTANTLY, $5.99 |  | 
Hy-Vee       | Party Size Mars Wrigley candy, 16.15 to 26.46 oz., $9.99 |  | 
Hy-Vee       | Polar seltzer, 8 pk. cans 12 fl. oz., 2/ $7 |  | 
Hy-Vee       | Polar Seltzer, Bai or Snapple beverage, 16 or 18 fl. oz. or 1 liter, 3/ $3 |  | 
Hy-Vee       | POPWELL™, Any Variety 12 fl. oz., $1.79 |  | 
Hy-Vee       | Powerade Power Water, 6 pk. bottles 16.9 fl. oz., $4.98 |  | 
Hy-Vee       | Pretzilla buns, 4 ct. or 6 ct. mini, $2.99 |  | 
Hy-Vee       | Pringles crisps, 4.9 to 5.6 oz., 2/ $4 |  | 
Hy-Vee       | Pringles Mingles puffed snacks, 5.5 oz., $2.99 |  | 
Hy-Vee       | Rana pasta or sauce, 7 to 15 oz., $4.99 |  | 
Hy-Vee       | Reese's peanut butter filled pretzels, SAVE! .50, $3.99 PERKS PRICES. NON-MEMBER PRICE $4.49 |  | 
Hy-Vee       | Relax wine, 750 ml., $9.99 |  | 
Hy-Vee       | Replenza supplements or drink powder, 60 ct. or 6.1 or 6.8 oz., $19.99 |  | 
Hy-Vee       | Reser's Main St Bistro side dish, 20 or 24 oz. Select varieties included., $3.99 |  | 
Hy-Vee       | Revlon or Almay cosmetics beauty tools, 25% off regular price, |  | 
Hy-Vee       | RoC skin care, 3.00 off regular price, |  | 
Hy-Vee       | Rockin' protein drink, 4 pk. bottles 12 fl. oz., $8.99 |  | 
Hy-Vee       | Rose & spray rose bouquet, Blends the classic beauty of long-stem roses with the delicate charm of spray rose blooms., $11.99 |  | 
Hy-Vee       | Sadler's pork belly bites, 32 oz., $19.99 |  | 
Hy-Vee       | Sartori shredded, grated or shaved cheese, 7 oz., $3.99 |  | 
Hy-Vee       | Seasoned potato wedges, $3.99 lb. |  | 
Hy-Vee       | Siete chips, churro strips or salsa, 5 to 10.5 oz., $4.49 |  | 
Hy-Vee       | Siggi's yogurt 4 ct. or 24 oz. or Kraft cheese shredded or chunk, 16 oz., $5.99 |  | 
Hy-Vee       | Silk high protein or International Delight iced coffee, 48 or 64 oz., $4.48 |  | 
Hy-Vee       | Smart Balance 13 or 15 oz. or Blue Bonnet spread 45 oz., $3.88 |  | 
Hy-Vee       | Smart Chicken boneless skinless chicken breasts or tenders, EARN 5¢ OFF PER GALLON, $6.99 lb. |  | 
Hy-Vee       | Smartwater, 6 pk. bottles 1 liter, $11.88 |  | 
Hy-Vee       | Smartwater, 6 pk. bottles 16.9 fl. oz., $6.99 |  | 
Hy-Vee       | Smirnoff vodka, 750 ml., $13.99 |  | 
Hy-Vee       | Soirée cheese, shredded, grated or shaved, 5 oz., $3.48 |  | 
Hy-Vee       | Soiree sliced fresh mozzarella, 16 oz., $6.99 |  | 
Hy-Vee       | SPARKLING ICE® CAFFEINE, Any Variety 17 fl. oz., 4/ $5 |  | 
Hy-Vee       | SPARKLING ICE® LIFE SAVERS™, 17 fl. oz., 5/ $5 |  | 
Hy-Vee       | SPEND $25 SAVE $5 INSTANTLY, |  | 
Hy-Vee       | St. Louis style spareribs, Hormel Always Tender, $3.99 lb. |  | 
Hy-Vee       | Starbucks frappuccino or espresso, 4 pk. bottles 9.5 fl. oz. or 4 pk. mini cans 6.5 fl. oz., $6.99 |  | 
Hy-Vee       | Stella Artois, 12 pk. bottles or cans 11.2 or 12 fl. oz., $15.99 |  | 
Hy-Vee       | Stella Rosa wine, 750 ml., $10.99 |  | 
Hy-Vee       | Stouffer's meals for two, 26 oz., $5.99 |  | 
Hy-Vee       | Summer swimming accessories, toys, water guns or balloons, 15% off regular price, |  | 
Hy-Vee       | Svedka vodka, 1.75 liter, $17.99 |  | 
Hy-Vee       | Takis variety pack, 18 ct., $8.99 |  | 
Hy-Vee       | Tanqueray London dry gin, 750 ml., $24.99 |  | 
Hy-Vee       | Tastee Choice breaded shrimp, 8 or 9 oz., $4.49 |  | 
Hy-Vee       | Tastee Choice clam bake, seafood or crawfish boil, 35.13 oz., $9.99 |  | 
Hy-Vee       | Tenderloin sandwich, each, $5.00 each |  | 
Hy-Vee       | That's Smart! liquid laundry detergent, gallon, $4.99 |  | 
Hy-Vee       | The Candy Shoppe candy, 10% off regular price, |  | 
Hy-Vee       | The Candy Shoppe licorice, 16 oz., $2.99 |  | 
Hy-Vee       | Thelma's ice cream sandwiches, 1.00 off regular price, |  | 
Hy-Vee       | Tide laundry detergent, -3.00 off with manufacturer's digital coupon, FUEL SAVER EARN 10¢ OFF PER GALLON, $16.94 |  | 
Hy-Vee       | Trolli gummies, SweeTarts ropes or Nerds gummy clusters, 15 to 28.8 oz., $7.99 |  | 
Hy-Vee       | True Citrus drink mix, 6 or 10 ct., $2.99 |  | 
Hy-Vee       | Twice baked potatoes, 5 oz., 2/ $4 each |  | 
Hy-Vee       | U by Kotex products, $5.00 off price with $15 purchase in U by Kotex products, |  | 
Hy-Vee       | Ultimate grilling onions, Chipotle seasoned bacon wrapped fresh onion rings, ready for the grill, $5.99 lb. |  | 
Hy-Vee       | Unshackled red wine, 750 ml., $17.99 |  | 
Hy-Vee       | V8 beverage, 46 fl. oz., $2.99 |  | 
Hy-Vee       | Violife 100% dairy free sour cream, dip, creamer or cheese products, 7.05 to 33.8 oz., $4.99 |  | 
Hy-Vee       | Vita Coco coconut water, 1 liter, $4.99 |  | 
Hy-Vee       | VitaminWater, 20 fl. oz., 3/ $5 |  | 
Hy-Vee       | Walden Farms dressing or sauce, 12 oz., 2/ $5 |  | 
Hy-Vee       | Wanderbean cold brew, SAVE 50¢, $4.29 |  | 
Hy-Vee       | Wild Turkey bourbon, 750 ml., $23.99 |  | 
