"Slug","Item","Buy","Grams","Ratio","Verdict","Evidence"
"slow-cooker-chicken-tagine-bowls","Fresh Cilantro","1/4 cup chopped","14","3.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Ground Cinnamon","1/2 tsp","5","3.85","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Ground Coriander","1 1/2 tsp","10","3.7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Ground Cumin","1 tsp","9","4.29","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Ground Ginger","1/2 tsp","3","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tagine-bowls","Ground Turmeric","1/2 tsp","5","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Chili Powder","1 tbsp","16","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Garlic","1 tbsp minced","35","4.12","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Ginger","1 tbsp grated","35","5.83","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Ground Turmeric","1/2 tsp","4","2.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Lemon Juice","1 tbsp","35","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Salt","2.5 tsp","34","2.27","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tikka-masala-rice-bowls","Vegetable Oil","2 tbsp","65","2.32","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tinga-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tinga-bowls","Dried Oregano","1 tsp","2","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tinga-bowls","Rice","1 lb","940","2.07","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-chicken-tinga-bowls","Salt","1 tsp","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Chili Powder","1 tbsp","16","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Diced Green Chiles","4.5 oz can","255","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Enchilada Sauce","10 oz can","570","2.01","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Ground Cumin","1 tbsp","16","2.54","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-chicken-tortilla-soup-bowls","Salt","1 tsp","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cilantro-lime-chicken-bowls","Fresh Cilantro","2 cups packed","120","3.75","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cilantro-lime-chicken-bowls","Ground Cumin","1 tsp","5","2.38","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-creamy-chicken-mushroom-bowls","Black Pepper","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-creamy-chicken-mushroom-bowls","Dried Thyme","1/2 tsp","2","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-creamy-chicken-mushroom-bowls","Salt","1 tsp kosher salt","13","2.17","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-creamy-chicken-mushroom-bowls","Worcestershire Sauce","2 tsp","25","2.19","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cuban-mojo-pork-bowls","Black Pepper","1 tsp","6","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cuban-mojo-pork-bowls","Cornstarch","1 tbsp","18","2.25","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cuban-mojo-pork-bowls","Fresh Cilantro","1 cup chopped","35","2.19","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-cuban-mojo-pork-bowls","Salt","1 tsp","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-french-onion-chicken-bowls","Swiss Cheese","2.5 oz + topping","180","2.54","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-french-onion-chicken-bowls","Worcestershire Sauce","1 tbsp","40","2.35","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-general-tso-chicken-bowls","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-general-tso-chicken-bowls","Ground Ginger","1/2 tsp","4","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-general-tso-chicken-bowls","Red Pepper Flakes","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-general-tso-chicken-bowls","Rice Vinegar","2 tbsp","70","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-greek-chicken-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-greek-chicken-bowls","Onion Powder","1/2 tsp","4","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-greek-chicken-bowls","Salt","1 tsp kosher salt","14","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-honey-garlic-pork-bowls","Ground Ginger","1/4 tsp","2","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-honey-garlic-pork-bowls","Onion Powder","1/2 tsp","3","2.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-honey-garlic-pork-bowls","Red Pepper Flakes","1/2 tsp","2","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-honey-sesame-chicken-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-honey-sesame-chicken-bowls","Rice","1 lb","1000","2.2","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-italian-beef-bowl","Salt","1/2 tsp","8","2.67","label-near-source","label 1/2 tsp, source 2 teaspoons"
"slow-cooker-italian-chicken-penne","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-italian-chicken-penne","Paprika","1/2 tsp","3","2.61","own-addition","paprika is not in the source recipe"
"slow-cooker-italian-chicken-penne","Red Pepper Flakes","1/4 tsp","2","4.44","label-near-source","label 1/4 tsp, source 1/2 tsp"
"slow-cooker-italian-chicken-penne","Salt","1 tsp","15","2.5","label-near-source","label 1 tsp, source 3/4 tsp"
"slow-cooker-jerk-pork-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-kalua-pork-bowls","Salt","2 tbsp","15","0.42","grams-suspect","source (downshiftology, 6 servings, 4 lb pork) says 1 tablespoon Hawaiian sea salt. This spec uses 7.5 lb pork, so ~2 tbsp is the correctly scaled amount - which is exactly what the LABEL says. The 15 g gram figure is the one that does not fit. Salt drives sodium in the macro block, so neither side is touched here."
"slow-cooker-king-ranch-chicken-bowls","All-Purpose Flour","1/2 cup","140","2.24","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-king-ranch-chicken-bowls","Butter","8 tbsp","250","2.23","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-king-ranch-chicken-bowls","Chili Powder","4 tsp","24","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-king-ranch-chicken-bowls","Garlic Powder","1 tbsp","20","2.15","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-king-ranch-chicken-bowls","Ground Cumin","1 tbsp","16","2.54","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-king-ranch-chicken-bowls","Salt","1 tsp","14","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-korean-shredded-pork-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-kung-pao-chicken-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-kung-pao-chicken-bowls","Ginger","1 tsp minced","14","7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-kung-pao-chicken-bowls","Rice","1 lb","980","2.16","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-kung-pao-chicken-bowls","Salt","1/4 tsp","4","2.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-maple-dijon-pork-bowls","Black Pepper","1/8 tsp","2","6.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-maple-dijon-pork-bowls","Salt","1/2 tsp","12","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mediterranean-chicken-bowls","Dried Oregano","1 tsp","7","7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mediterranean-chicken-bowls","Dried Thyme","1 tsp","7","7","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mediterranean-chicken-bowls","Rice","1 lb","940","2.07","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-mississippi-pork-bowls","Cornstarch","2 tbsp","35","2.19","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mongolian-chicken-bowls","Cornstarch","1 tbsp","28","3.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mongolian-chicken-bowls","Ginger","1 tsp grated","7","3.5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-mongolian-chicken-bowls","Rice Vinegar","2 tbsp","100","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-orange-chicken-rice-bowls","Black Pepper","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-orange-chicken-rice-bowls","Ground Ginger","1 tsp","5","2.78","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-orange-chicken-rice-bowls","Rice","1 lb","980","2.16","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-pork-carnitas-bowl","Dried Oregano","1/2 tbsp","5","3.33","own-addition","dried oregano is not in the source recipe"
"slow-cooker-pork-carnitas-bowl","Salt","1/2 tsp+","15","5","label-near-source","label ""1/2 tsp+"", source 1.5 tsp sea salt"
"slow-cooker-pork-green-chili-bowls","Black Pepper","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-pork-green-chili-bowls","Cayenne Pepper","1/2 tsp","2","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-pork-green-chili-bowls","Dried Oregano","1/4 tsp","2","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-pork-green-chili-bowls","Ground Cumin","1 Tbsp","15","2.38","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-pork-green-chili-bowls","Smoked Paprika","1/2 tsp","3","2.61","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-pulled-pork-bowl","Rice","1 lb","1000","2.2","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-pulled-pork-bowl","Salt","1 tsp","15","2.5","own-addition","source says ""salt and pepper to taste"" - no amount"
"slow-cooker-pulled-pork-bowl","Smoked Paprika","2 tsp","12","2.61","own-addition","smoked paprika is not in the source recipe"
"slow-cooker-salsa-verde-chicken-bowl","Garlic Powder","1/8 tsp","3","7.74","own-addition","garlic powder is not in the source recipe"
"slow-cooker-salsa-verde-chicken-bowl","Salt","1/4 tsp","8","5.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-salsa-verde-pork-bowls","Brown Sugar","1/3 cup","150","2.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-salsa-verde-pork-bowls","Rice","1 lb","940","2.07","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-salsa-verde-pork-bowls","Salt","1/4 tsp kosher salt","4","2.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-sweet-and-sour-pork-bowls","Brown Sugar","1 tbsp","45","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-sweet-and-sour-pork-bowls","Ground Ginger","1 tsp","8","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-sweet-and-sour-pork-bowls","Red Pepper Flakes","1 tsp","8","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-sweet-and-sour-pork-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"slow-cooker-teriyaki-pork-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-teriyaki-pork-bowls","Pineapple Juice","6 oz","400","2.35","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-teriyaki-pork-bowls","Red Pepper Flakes","1/2 tsp red chili pepper flakes","2","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-thai-peanut-chicken-bowls","Rice Vinegar","2 tbsp","70","2.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-tuscan-chicken-pasta","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-tuscan-chicken-pasta","Cornstarch","1 tbsp","18","2.25","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-tuscan-chicken-pasta","Italian Seasoning","1 tsp","6","4.29","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"slow-cooker-tuscan-chicken-pasta","Salt","1/4 tsp","4","2.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","All-Purpose Flour","1/4 cup","70","2.24","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Black Pepper","1/4 tsp","3","5.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Brown Sugar","1 tsp (meatballs) + 1 tsp (sauce)","20","4.44","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Butter","1 tbsp","30","2.14","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Ground Allspice","1/4 tsp","2","4.21","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Ground Nutmeg","1/4 tsp","2","3.64","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Olive Oil","1 tbsp (sauce)","30","2.22","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"swedish-meatball-potato-bowls","Salt","1 tsp","12","2","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"teriyaki-chicken-bowl","Shredded Carrots","1 lb","200","0.44","grams-suspect","source (masonfit, 6 servings) says 3 carrots ~180 g; this spec is 14 servings yet carries 200 g, i.e. barely scaled at all. The ""1 lb"" label is a filler, but the grams are the more likely error. Refused pending a decision on the gram figure."
"tex-mex-beef-rice-skillet-bowls","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"tex-mex-beef-rice-skillet-bowls","Chili Powder","2 tsp ground chipotle (or chili powder)","16","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"tex-mex-beef-rice-skillet-bowls","Garlic Powder","1 tsp","9","2.9","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"tex-mex-beef-rice-skillet-bowls","Salt","1/2 tsp","9","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"thai-turkey-larb-bowls","Fish Sauce","3 Tbsp","160","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"thai-turkey-larb-bowls","Fresh Cilantro","1/2 cup rough chopped","30","3.75","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"thai-turkey-larb-bowls","Fresh Mint","1/3 cup fresh","25","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"thai-turkey-larb-bowls","Rice","1 lb","950","2.09","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"turkey-bolognese-penne","Salt","1 tsp","15","2.5","unverifiable","spec carries no source_url"
"turkey-chili-mac","Chicken Broth","2 1/2 cups low sodium","1800","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Chili Powder","2 tsp","15","2.78","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Garlic","1 tbsp minced (~3 cloves)","45","5.29","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Garlic Powder","1 tsp","8","2.58","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Ground Cumin","2 tsp","15","3.57","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Olive Oil","1 tbsp","42","3.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-chili-mac","Paprika","2 tsp","15","3.26","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-fajita-rice-bowls","Balsamic Vinegar","2 Tbsp","84","2.62","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-meatball-marinara-pasta","Dried Basil","1 tsp","8","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-meatball-marinara-pasta","Dried Oregano","1 tsp","8","8","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-meatball-marinara-pasta","Mozzarella Cheese","3 oz cubed + 3/4 cup shredded","510","6","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-meatball-marinara-pasta","Worcestershire Sauce","1 tbsp","45","2.65","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-picadillo-rice-bowls","Salt","1 tsp kosher salt","22","3.67","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-ragu-pasta","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-ragu-pasta","Dried Thyme","1 tsp","4","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-ragu-pasta","Salt","1/2 tsp kosher","10","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-ragu-pasta","Turkey Bacon","4 oz, chopped","396","3.49","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Apple Cider Vinegar","1 tbsp","45","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Black Pepper","1/4 tsp","2","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Chicken Broth","3/4 cup","540","3","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Olive Oil","2 tsp","28","3.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Smoked Paprika","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-sloppy-joe-bowls","Soy Sauce","1 tbsp (or 2 tbsp coconut aminos)","90","5.62","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"turkey-taco-rice-skillet","Chicken Broth","3 cups (to cook rice in-pan)","2000","2.78","unverifiable","spec carries no source_url"
"turkey-taco-rice-skillet","Salsa","1 cup chunky tomato salsa (per 4)","850","3.27","unverifiable","spec carries no source_url"
"unstuffed-cabbage-roll-bowls","Black Pepper","1 tsp","7","3.04","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-cabbage-roll-bowls","Dried Oregano","1 tsp","5","5","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-cabbage-roll-bowls","Olive Oil","2 tbsp","80","2.96","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-cabbage-roll-bowls","Paprika","3/4 tsp","6","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-cabbage-roll-bowls","Red Pepper Flakes","1/2 tsp","3","3.33","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-cabbage-roll-bowls","Salt","1 1/2 tsp","25","2.78","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Black Pepper","1/2 tsp","4","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Olive Oil","1 tbsp","42","3.11","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Paprika","1 tsp","8","3.48","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Rice","1 lb","1081","2.38","filler-label","label is a constant ""1 lb"" across the catalog regardless of grams; sources state this ingredient in cups or omit it"
"unstuffed-pepper-skillet-bowls","Salt","1/2 tsp","12","4","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Tomato Paste","2 tbsp","90","2.81","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
"unstuffed-pepper-skillet-bowls","Worcestershire Sauce","2 tsp","30","2.63","label-is-source-unscaled","source states this amount verbatim at the source serving count; the grams are this recipe scaled to 14"
